"Mag","RateZ"
5,0.0083994
5,0.00824668
5,0.01237
5,0.00901026
5,0.00794125
5,0.00992656
5,0.00962113
5,0.00901026
6,-0.00503964
5,0.30696
5,0.118966
4,-0.00213803
4,-0.00733038
5,-0.00152716
5,0
5,-0.000763582
5,0.00626137
5,0.00824668
4,0.0108429
4,0.00962113
4,0.00809396
5,0.00702495
5,0.00519235
5,0.00702495
5,-0.130572
5,-0.221897
6,-0.323759
6,-0.480751
6,-0.573144
8,-0.826501
9,-0.964098
10,-1.0232
11,-1.06947
13,-1.12063
14,-1.09406
16,-1.09528
17,-1.13545
19,-1.13315
21,-1.07909
22,-1.13346
24,-1.17149
25,-1.20111
26,-1.12949
28,-1.19439
30,-1.38056
32,-1.44179
34,-1.42011
36,-1.44561
38,-1.52548
40,-1.64613
41,-1.56244
43,-1.53144
45,-1.42103
47,-1.41018
49,-1.35536
51,-1.32985
53,-1.38514
55,-1.40285
57,-1.40652
58,-1.51342
60,-1.59482
63,-1.60932
65,-1.62704
68,-1.62704
70,-1.56519
72,-1.40148
74,-1.11972
75,-1.21761
76,-1.20157
78,-1.0933
80,-1.11849
81,-1.04779
83,-1.14873
85,-1.22204
87,-1.22967
89,-1.03725
90,-0.923934
90,-0.796721
92,-0.611323
92,-0.391106
93,-0.129198
93,0.00702495
93,0.0128282
92,0.0125227
92,0.0116064
92,0.00962113
93,0.00870483
93,0.00824668
93,0.00641409
93,0.0074831
92,0.00885755
93,0.00901026
92,0.0116064
93,0.0122173
93,0.26313
92,0.416763
91,0.671799
90,0.90011
88,0.910495
87,0.837496
86,0.845896
85,0.770454
84,0.714712
83,0.736704
82,0.752891
80,0.772897
80,0.896139
78,1.09039
76,1.34711
74,1.41293
72,1.4925
70,1.47417
69,1.56229
66,1.58428
64,1.49891
62,1.37246
60,1.40178
59,1.39262
57,1.26357
55,1.4789
52,1.5096
50,1.51464
49,1.62063
47,1.70233
45,1.7231
43,1.66446
40,1.60688
38,1.56656
36,1.49906
34,1.41415
32,1.28419
31,1.33932
29,1.26067
28,1.31611
26,1.34329
24,1.38315
22,1.44836
20,1.32313
18,1.26678
16,1.25945
16,1.05481
10,0.670119
10,0.502437
8,0.373391
9,0.214566
9,0.133627
8,0.157145
8,0.234725
8,0.198837
7,0.255342
7,0.260839
6,0.203265
7,0.144164
6,0.0387899
6,0.00809396
6,0.010232
6,0.135001
6,0.319483
5,0.414777
5,0.158825
5,0.125075
4,0.00962113
4,0.00870483
5,0.010232
4,0.00778853
5,0.00931569
5,0.00717767
4,0.0100793
5,0.0074831
5,0.00763582
4,0.00717767
4,0.00778853
4,0.00809396
5,-0.0128282
4,-0.214872
5,-0.334449
6,-0.791376
8,-1.07864
9,-1.33398
12,-1.69744
13,-1.82817
16,-1.82939
18,-1.93721
21,-2.0632
24,-2.09725
27,-1.97813
29,-1.86375
32,-1.73654
34,-1.65972
35,-1.71195
38,-1.73532
40,-1.86329
43,-1.87536
46,-1.94729
48,-1.9844
51,-1.9314
54,-1.96943
57,-1.98226
59,-2.12001
61,-2.2124
