"Mag","AccX","AccY","RateX","RateY","RateZ"
-98.0518,8.06611,78.0746,-2.14963,0.190132,0.0502437
-97.4234,8.06611,78.0746,-1.55419,0.516028,-0.241444
-97.6935,8.06611,78.0746,-2.05465,0.757626,0.0265726
-98.0759,-2.45247,51.5423,-3.56669,0.149509,0.258854
-98.3631,-2.45247,51.5423,-2.3248,0.742049,0.0928515
-97.3208,-2.45247,51.5423,-2.25867,0.591623,-0.387289
-97.0102,-2.45247,51.5423,-4.22688,0.6634,-0.363923
-96.7811,9.97919,-14.071,-3.76919,1.85474,0.434325
-95.1104,9.97919,-14.071,-1.53602,0.963182,-0.697608
-94.5204,9.97919,-14.071,-2.35382,-0.972956,-1.34986
-94.3383,9.97919,-14.071,-2.83044,0.321162,0.0583376
-94.0663,2.1692,-9.22479,-0.982424,0.714865,0.137445
-94.6613,2.1692,-9.22479,-0.379347,-0.653473,-0.314137
-94.8324,2.1692,-9.22479,-0.483042,-0.417374,-0.158061
-95.6267,2.1692,-9.22479,-0.662331,-0.203876,0.12706
-95.5549,-2.18352,3.37567,-0.345444,0.180969,0.262977
-95.1944,-2.18352,3.37567,-0.0198531,0.16417,0.0499382
-95.3648,-2.18352,3.37567,-0.193492,0.132252,0.153022
-95.7252,-2.18352,3.37567,-0.401338,0.20632,0.214872
-95.8598,3.42901,2.97137,-0.495564,-0.219301,0.0531453
-96.7098,3.42901,2.97137,-0.730289,-0.549626,-0.141263
-97.3626,3.42901,2.97137,-0.994947,-0.189063,0.0279471
-97.1451,3.37528,2.92482,-1.31138,0.273668,0.363465
-98.4966,0.679476,-4.98901,-1.48486,0.0685696,0.240986
-100.471,0.679476,-4.98901,-2.16598,-0.853226,-0.0842994
-104.186,0.679476,-4.98901,-2.50516,-0.668134,0.112246
-108.664,-0.814541,-23.1605,-3.07861,-0.363923,0.437074
-113.682,-0.814541,-23.1605,-3.24018,0.191354,0.503658
-118.673,-0.814541,-23.1605,-2.70644,0.611171,0.187994
-133.386,-0.814541,-23.1605,-3.29088,0.17318,0.155007
-168.857,-5.57405,-38.0666,-3.70765,0.26145,0.549626
166.373,-5.57405,-38.0666,-3.36709,-1.01205,0.546572
145.871,-5.57405,-38.0666,-2.46851,-0.914771,0.31597
132.049,-5.57405,-38.0666,-2.78448,-0.0276417,0.223119
120.91,-3.01193,-78.3009,-4.09768,-0.046273,0.567036
109.817,-3.01193,-78.3009,-4.20718,0.920421,1.08154
102.109,-3.01193,-78.3009,-3.70291,0.92317,0.36209
99.7824,-3.01193,-78.3009,-3.46956,0.221591,0.0743728
99.3074,-5.00802,-71.6836,-3.45505,-0.8349,-0.0343612
100.778,-5.00802,-71.6836,-2.7973,-1.84298,0.12034
102.984,-5.00802,-71.6836,-1.63086,-2.25623,-0.180511
105.173,-5.00802,-71.6836,-1.15713,-1.16721,-0.0859793
105.267,-1.0643,-81.1738,-1.10887,-0.0936151,0.0569632
103.321,-1.0643,-81.1738,-0.618196,2.46347,0.166003
100.737,-1.0643,-81.1738,-0.550542,1.55587,0.0664316
98.7751,-1.0643,-81.1738,-0.599717,1.30435,0.174249
98.7842,2.38054,-81.6189,-0.308029,-0.53863,0.0810924
99.442,2.38054,-81.6189,-0.243735,-0.518319,-0.169668
99.7276,2.38054,-81.6189,-0.34804,0.021533,0.133932
98.9981,2.38054,-81.6189,-0.182954,0.253967,0.282067
98.7368,179.577,-88.6631,0.00992656,0.00427606,0.0661262
98.4944,179.577,-88.6631,0.166461,0.152869,0.0264199
98.7085,179.577,-88.6631,0.609033,-0.198531,-0.0400117
99.4206,179.577,-88.6631,1.26419,-0.447764,-0.0783435
100.797,1.15299,-76.3156,2.00165,-0.186314,-0.0700968
101.988,1.15299,-76.3156,2.63497,-0.498924,-0.810924
103.249,1.15299,-76.3156,2.392,1.29427,-0.872774
100.008,1.15299,-76.3156,1.98195,1.90666,0.283441
101.47,3.43416,-54.2589,2.66001,-2.31946,-0.0242819
110.761,3.43416,-54.2589,3.16566,-3.26416,-0.632093
117.67,3.43416,-54.2589,2.7718,0.317039,-1.04229
118.435,3.43416,-54.2589,2.64108,1.37124,-0.383013
124.509,-2.13199,-51.3738,3.38572,-1.54915,0.0335976
140.826,-2.13199,-51.3738,3.91183,-2.18476,-0.114843
155.863,-2.13199,-51.3738,3.31471,-1.44225,-1.14018
169.756,-2.13199,-51.3738,3.32784,1.51861,-0.5116
-171.922,6.633,-44.4678,3.58547,0.83658,0.152411
-165.627,6.633,-44.4678,2.23424,-1.03649,-0.288787
-157.802,6.633,-44.4678,1.07008,-0.997543,-0.550084
-156.571,-5.0855,-22.8713,0.754877,-0.371406,0.156687
-151.113,-5.0855,-22.8713,1.33046,0.858113,0.654237
-145.229,-5.0855,-22.8713,0.853226,0.947452,0.192881
-143.666,-5.0855,-22.8713,0.0548252,0.057574,-0.585209
-141.973,-0.451637,-26.6988,0.860251,-0.14508,-0.188147
-135.769,-0.451637,-26.6988,1.85581,0.0479529,0.0792598
-131.186,-0.451637,-26.6988,1.26968,0.436769,-0.552069
-130.15,-0.451637,-26.6988,0.558484,-0.928057,-0.94287
-128.884,4.6117,-16.9167,0.995252,0.428369,0.135459
-124.858,4.6117,-16.9167,1.11483,0.747241,0.368352
-119.539,4.6117,-16.9167,0.87033,1.47738,0.0583376
-114.989,4.6117,-16.9167,0.741132,0.508851,-0.329867
-111.168,-0.415253,-11.9204,0.739147,1.31733,0.187841
-103.496,-0.415253,-11.9204,1.341,2.46469,0.651182
-94.0704,-0.415253,-11.9204,1.5571,2.85793,0.785725
-87.5805,-0.415253,-11.9204,1.27824,2.47034,0.955546
-83.4254,-10.6192,-5.16895,1.50975,3.56638,1.248
-75.3276,-10.6192,-5.16895,1.26403,3.95581,1.44943
-68.4669,-10.6192,-5.16895,0.86132,4.67877,1.9311
-62.7839,-10.6192,-5.16895,0.683253,4.99611,2.1055
-57.8125,-37.5682,-0.232891,0.830471,4.99932,1.91292
-54.4063,-37.5682,-0.232891,0.80451,4.99932,1.71745
-53.2192,-37.5682,-0.232891,1.18386,4.63494,2.37046
-54.7106,-37.5682,-0.232891,1.07176,3.53905,2.30296
-55.2475,-105.679,14.3039,1.17729,4.99917,2.32327
-55.3236,-105.679,14.3039,0.895834,4.99932,1.19287
-54.7218,-105.679,14.3039,0.802066,4.21024,0.34972
-54.3955,-105.679,14.3039,0.406836,2.67513,-0.00885755
-53.8536,-107.132,15.0464,0.301004,2.69621,-0.0163406
-53.3973,-107.132,15.0464,0.284969,1.4479,-0.607658
-51.3851,-107.132,15.0464,0.279013,-0.3036,-1.43843
-50.1203,-107.132,15.0464,0.336434,0.359952,-0.632856
-49.7524,-112.157,9.70999,0.298408,1.25075,-0.401491
-48.7506,-112.157,9.70999,0.303295,0.520915,-0.620639
-48.4064,-112.157,9.70999,0.255342,0.464258,-0.358272
-48.1345,-112.157,9.70999,0.2755,0.180816,-0.23274
-48.1345,-114.359,10.6293,0.232282,0.431576,-0.0578795
-47.8692,-114.359,10.6293,0.194408,-0.0261145,-0.126602
-47.8692,-114.359,10.6293,0.121868,-0.0560469,-0.0083994
-47.6614,-114.359,10.6293,0.0390954,-0.440434,-0.0969749
-47.5902,-112.707,14.7428,0.118813,-0.90011,-0.181427
-47.6551,-112.707,14.7428,0.0589485,-0.228158,0.19563
-47.5902,-112.707,14.7428,0.0702495,-0.459371,0.0742201
-47.4599,-115.45,15.7402,0.0351248,-1.36452,-0.15516
-47.3888,-115.45,15.7402,-0.142637,-1.22845,-0.083994
-47.3888,-115.45,15.7402,-0.18326,-1.93308,-0.108276
-47.7459,-115.45,15.7402,0.234572,-3.30173,0.31032
-48.8414,-101.703,11.0942,0.415999,-3.18016,0.602771
-50.0811,-101.703,11.0942,0.0120646,-3.70749,-0.129962
-50.5637,-101.703,11.0942,-0.132863,-3.54623,-0.3317
-51.8026,-101.703,11.0942,0.0190895,-3.36403,-0.0711658
-53.3185,-65.1618,20.4573,-0.218842,-3.2495,-0.213039
-53.8946,-65.1618,20.4573,-0.581696,-3.5305,-0.80115
-55.1357,-65.1618,20.4573,-0.757626,-4.38769,-0.877813
-57.0948,-65.1618,20.4573,-0.651488,-4.81117,-1.0516
-60.2089,-38.8556,7.26419,-0.434172,-3.95902,-0.915382
-63.2594,-38.8556,7.26419,-0.262367,-3.25347,-0.814283
-66.5339,-38.8556,7.26419,-0.241597,-3.18887,-0.739758
-70.2119,-38.8556,7.26419,-0.057574,-3.33945,-0.762513
-74.7961,-29.8771,9.18141,0.0930042,-3.12458,-0.646143
-78.7194,-29.8771,9.18141,0.00381791,-2.29074,-0.398437
-80.5377,-29.8771,9.18141,0.23503,-2.11222,-0.398284
-83.7093,-29.8771,9.18141,0.383929,-2.14368,-0.560316
-87.4912,-7.96429,4.10088,0.411876,-2.08442,-0.783893
-88.8279,-7.96429,4.10088,0.523359,-1.02778,-0.681115
-89.2784,-7.96429,4.10088,0.380111,-1.03099,-0.80451
-91.4321,-7.96429,4.10088,0.276111,-2.28784,-1.08306
-93.9745,-3.72982,7.72624,0.382249,-1.64643,-0.677297
-95.4602,-3.72982,7.72624,0.27214,-1.01343,-0.415694
-96.1852,-3.72982,7.72624,-0.0675006,-0.503353,-0.14844
-96.9325,-3.72982,7.72624,-0.0259618,-0.854448,-0.209221
-97.5946,2.78061,2.38313,0.0943787,-0.675464,-0.339794
-97.2986,2.78061,2.38313,0.0623083,0.200517,-0.0649044
-96.8317,2.78061,2.38313,0.0453567,0.347582,0.041997
-96.5873,2.78061,2.38313,0.10965,0.130725,-0.0943787
-97.3344,-2.07518,6.86298,0.0881173,-0.55039,-0.0404698
-98.2684,-2.07518,6.86298,0.014508,-0.821766,-0.0197004
-99.8717,-2.07518,6.86298,0.0661262,-0.66004,0.0299324
-101.903,-2.07518,6.86298,0.0897972,-1.01373,0.0638354
-103.374,-5.6617,7.49068,-0.0294742,-2.77638,-0.110108
-107.842,-5.6617,7.49068,0.124769,-2.8955,0.030696
-112.303,-5.6617,7.49068,0.320093,-2.72202,0.257938
-115.731,-5.6617,7.49068,0.270155,-3.52286,-0.177762
-119.993,19.8556,3.28166,0.569937,-3.9972,-0.237932
-122.911,19.8556,3.28166,0.499535,-3.1765,0.349262
-125.779,19.8556,3.28166,0.364381,-2.79333,0.557567
-128.145,40.2671,7.84517,0.23839,-2.93903,0.293979
-130.29,40.2671,7.84517,0.379958,-2.87931,0.430049
-131.86,40.2671,7.84517,0.337503,-3.11312,0.541685
-134.234,40.2671,7.84517,0.169973,-3.73865,0.504422
-136.017,64.9115,9.67256,0.195935,-3.61067,0.518014
-137.466,64.9115,9.67256,0.0659734,-3.21957,0.547793
-138.954,64.9115,9.67256,-0.0105374,-3.56257,0.238543
-139.118,64.9115,9.67256,0.119119,-3.41184,0.168904
-139.499,86.3404,1.93864,-0.00152716,-2.91551,0.0592539
-139.318,86.3404,1.93864,-0.0878119,-2.68124,-0.242819
-138.693,86.3404,1.93864,-0.00916298,-2.90482,-0.488692
-137.958,86.3404,1.93864,0.170584,-2.65925,-0.251524
-137.632,103.731,5.51316,0.167835,-1.7822,-0.165086
-136.993,103.731,5.51316,0.387441,-0.593761,-0.171348
-137.507,103.731,5.51316,0.291535,0.598342,0.263741
-137.777,103.731,5.51316,-0.112399,-0.645074,0.258854
-137.859,102.863,5.16657,-0.228922,-1.15835,0.066737
-137.403,102.863,5.16657,-0.333532,-1.27335,-0.0502437
-136.873,102.863,5.16657,-0.196851,-1.15163,-0.0618501
-137.012,102.863,5.16657,0.0132863,-0.683711,0.0152716
-136.617,100.771,5.44764,0.202044,-0.0740674,0.0668897
-136.878,100.771,5.44764,0.198989,0.0390954,0.0343612
-136.887,100.771,5.44764,0.297186,0.265574,0.0992656
-137.478,100.771,5.44764,0.393397,0.815658,0.120646
-138.39,113.82,7.99784,0.276417,2.21744,0.221744
-139.015,113.82,7.99784,0.046273,2.74278,0.280693
-139.318,113.82,7.99784,-0.15684,1.52961,0.0387899
-139.579,113.82,7.99784,-0.222508,2.65696,0.0158825
-139.888,97.2262,3.94717,-0.283136,4.65922,0.0920879
-139.78,97.2262,3.94717,-0.629039,4.86982,0.33735
-139.846,97.2262,3.94717,-0.771217,4.99337,0.416152
-139.105,97.2262,3.94717,-0.602924,4.78995,0.153022
-138.137,55.5089,2.02431,-0.320704,1.58932,-0.176235
-137.834,55.5089,2.02431,-0.58246,1.41049,-0.0117592
-137.566,55.5089,2.02431,-0.696692,3.65832,0.594983
-135.314,55.5089,2.02431,-0.52397,4.80278,0.447153
-132.716,23.4677,-0.256371,-0.368963,4.99596,0.684322
-131.245,23.4677,-0.256371,-0.270002,4.18443,0.669203
-127.617,23.4677,-0.256371,0.0826195,3.30157,0.530689
-124.889,23.4677,-0.256371,0.209374,1.98149,0.630108
-123.169,18.8744,-0.231687,0.131183,2.0606,0.868345
-121.091,18.8744,-0.231687,0.555124,2.36741,1.26174
-118.135,18.8744,-0.231687,0.833067,2.29151,1.75471
-116.359,10.3345,-11.1241,0.732886,1.35612,1.25655
-114.635,10.3345,-11.1241,0.643394,0.955546,0.554208
-113.499,10.3345,-11.1241,0.760222,0.908509,0.644005
-112.224,10.3345,-11.1241,0.662178,1.11498,0.159894
-109.918,2.20578,3.9726,0.414625,-0.0203113,-0.738536
-110.276,2.20578,3.9726,-0.0239765,-0.92485,-0.820545
-110.4,2.20578,3.9726,0.00549779,-0.472504,-0.562607
-110.225,2.20578,3.9726,0.0539089,-0.213192,-0.756862
-109.325,0.6196,3.09945,0.0280998,-0.177609,-0.762665
-108.806,0.6196,3.09945,0.129809,-0.237016,-0.553902
-108.342,0.6196,3.09945,0.251218,-0.23106,-0.568257
-107.562,0.6196,3.09945,0.187383,-0.27886,-0.669814
-107.294,11.9562,-0.439621,0.0612392,-0.436158,-0.75335
-106.754,11.9562,-0.439621,0.176845,0.0768163,-0.668592
-105.408,11.9562,-0.439621,0.186467,0.451888,-0.787863
-103.446,11.9562,-0.439621,0.0423024,-0.109345,-1.21791
-102.295,16.3664,-0.204364,-0.0291688,-0.437838,-1.45737
-100.575,16.3664,-0.204364,0.00778853,-0.557262,-1.99127
-99.0102,16.3664,-0.204364,-0.0056505,-0.261145,-2.02593
-95.6388,16.3664,-0.204364,-0.148746,-0.0201586,-2.49218
-91.7534,7.52937,5.2628,-0.226173,0.464258,-2.37963
-89.4078,7.52937,5.2628,-0.195782,0.567494,-2.28586
-85.5559,7.52937,5.2628,-0.0710131,-0.0945314,-2.4821
-82.8566,7.52937,5.2628,-0.0284052,-0.606131,-2.52852
-80.3903,6.64535,6.91244,-0.101404,0.178067,-2.21011
-76.1104,6.64535,6.91244,-0.177151,1.00258,-1.80831
-72.3828,6.64535,6.91244,-0.0821614,0.274889,-1.99753
-70.796,6.64535,6.91244,0.0453567,-0.479376,-2.20186
-67.7379,5.23077,8.23671,-0.24511,-0.200364,-2.1956
-63.9932,5.23077,8.23671,-0.390648,0.395841,-1.65071
-62.0778,5.23077,8.23671,-0.185856,0.13775,-1.67179
-59.6399,5.23077,8.23671,0.00977384,-0.0907135,-1.74158
-57.6391,8.00963,6.58922,-0.176235,0.249691,-1.79701
-54.2201,8.00963,6.58922,-0.113621,0.649044,-1.54182
-50.0523,8.00963,6.58922,-0.144622,0.15913,-1.70034
-47.8567,8.00963,6.58922,-0.13607,-0.278402,-1.69973
-45.232,6.81555,0.453304,-0.22434,-0.111177,-1.87475
-41.4821,6.81555,0.453304,-0.21029,0.255647,-1.96271
-37.8157,6.81555,0.453304,-0.375988,0.0158825,-2.07236
-35.1342,6.81555,0.453304,-0.330631,0.0190895,-1.74478
-32.7769,-3.95088,-3.95088,-0.290772,0.146913,-1.63086
-29.5738,-3.95088,-3.95088,-0.125533,0.585362,-1.37918
-26.8739,-3.95088,-3.95088,0.154396,0.0956004,-1.43141
-25.622,-11.4907,7.09471,0.223882,-0.379653,-1.31458
-24.2359,-11.4907,7.09471,0.0203113,-0.229991,-0.847423
-23.1755,-11.4907,7.09471,-0.154854,0.438907,-0.24007
-22.0679,-11.4907,7.09471,0.0940733,-0.0783435,-0.364381
-21.8686,-3.13565,2.89423,0.164628,-0.285427,-0.459829
-21.0244,-3.13565,2.89423,0.0930042,-0.0928515,-0.33002
-21.8686,-3.13565,2.89423,0.00152716,0.19059,-0.0881173
-21.0758,-3.13565,2.89423,-0.000458149,0.317497,0.106901
-20.9735,-5.34671,3.33873,0.0659734,-0.140041,0.125533
-22.0007,-5.34671,3.33873,0.112399,-0.0789543,0.430965
-25.1828,-5.34671,3.33873,0.847576,0.58414,2.10321
-28.2782,-5.34671,3.33873,0.463036,0.123547,1.73761
-33.2916,-14.2346,12.5196,0.926683,0.567799,2.69239
-39.6904,-14.2346,12.5196,1.33657,0.793819,4.34844
-45,-14.2346,12.5196,1.1411,1.37643,4.96068
-49.0856,-14.2346,12.5196,0.628886,-0.643547,3.11618
-54.4783,7.60088,12.127,0.377057,-1.09146,2.30342
-59.0832,7.60088,12.127,0.350026,0.14844,2.84556
-62.2795,7.60088,12.127,0.150731,0.464563,2.43964
-64.9584,7.60088,12.127,0.10568,-0.939205,0.802066
-67.5902,0.701476,12.7307,0.189521,-0.255494,1.16767
-68.5212,0.701476,12.7307,0.330478,0.641867,1.66766
-69.2277,0.701476,12.7307,0.00305433,0.632704,1.40377
-70.051,0.701476,12.7307,0.111941,0.271682,1.41873
-71.9833,-6.01498,16.7483,0.00916298,0.848186,2.23088
-73.5003,-6.01498,16.7483,-0.078038,1.66858,2.62535
-74.3927,-6.01498,16.7483,-0.00626137,1.4114,2.58793
-76.5242,-6.01498,16.7483,-0.225257,0.618043,1.85474
-77.9052,-3.07488,6.37951,-0.217621,0.595899,1.72905
-79.5322,-3.07488,6.37951,-0.322842,0.592081,2.08336
-82.3881,-3.07488,6.37951,-0.32101,-0.0478002,2.14429
-84.8295,-3.07488,6.37951,-0.217315,-0.109345,1.7793
-86.4237,8.5957,-1.3625,-0.0610865,-0.119882,1.33673
-87.47,8.5957,-1.3625,-0.0940733,0.416763,1.06443
-88.3902,8.5957,-1.3625,-0.0693332,-0.0639881,0.936304
-89.7335,8.5957,-1.3625,-0.046273,0.0164934,1.18065
-91.4826,-1.90412,11.2569,-0.235183,0.00259618,1.25915
-93.1345,-1.90412,11.2569,-0.392786,-0.131489,1.06107
-94.2618,-1.90412,11.2569,-0.450971,-0.10797,0.826806
-95.4337,-1.90412,11.2569,-0.163254,0.0244346,0.533744
-95.5722,4.63203,2.20387,-0.0740674,0.167072,0.463036
-96.031,4.63203,2.20387,-0.242361,-0.0623083,0.551
-96.9495,4.63203,2.20387,-0.507018,-0.566425,0.377667
-98.9428,1.24507,1.24507,-0.50824,-0.496633,0.334296
-99.7725,1.24507,1.24507,-0.300851,-0.158825,0.248928
-100.908,1.24507,1.24507,-0.175166,-0.147524,0.254273
-101.31,1.24507,1.24507,0.226631,-0.0650572,0.414014
-101.733,3.7573,0.170664,0.577879,-0.117592,0.358883
-101.392,3.7573,0.170664,1.49479,0.0757473,0.107665
-100.41,3.7573,0.170664,2.22767,-0.147219,-0.351858
-100.362,3.7573,0.170664,2.52058,-0.599717,-0.470977
-99.9527,-4.7636,11.8924,2.53601,-0.220064,0.296117
-99.5554,-4.7636,11.8924,2.68888,-0.485943,0.258701
-100.121,-4.7636,11.8924,2.7185,-0.837496,-0.0174097
-100.333,-4.7636,11.8924,2.63008,0.370948,0.409891
-100.16,8.28699,21.86,2.52028,0.168599,0.404087
-100.481,8.28699,21.86,2.5499,-0.363159,0.057574
-100.425,8.28699,21.86,2.57358,-0.198684,0.0109956
-100.347,8.28699,21.86,2.43766,0.246331,0.164628
-99.9101,7.10327,28.0797,2.59786,0.54367,0.0890336
-99.814,7.10327,28.0797,2.99522,0.644157,-0.0684169
-99.0208,7.10327,28.0797,2.95048,0.0763582,-0.101862
-98.8721,7.10327,28.0797,2.94208,0.0997237,-0.416152
-97.935,2.46679,72.025,2.78829,-0.937831,-0.683558
-97.3105,2.46679,72.025,2.48989,0.150273,-0.463952
-97.7061,2.46679,72.025,2.08122,1.05741,-0.129503
-97.6197,2.46679,72.025,1.85459,0.876744,-0.164475
-97.3984,0.234687,71.1183,1.65071,0.21701,-0.230143
-97.5059,0.234687,71.1183,1.49173,0.44135,-0.14279
-97.4146,0.234687,71.1183,1.29809,0.265116,-0.139888
-97.6463,0.234687,71.1183,0.881173,-0.00977384,-0.0505491
-97.5882,0.419157,82.4215,0.731969,0.215788,0.0445932
-98.2421,0.419157,82.4215,0.610407,0.131031,0.0922407
-98.4816,0.419157,82.4215,0.560163,-0.365756,0.159894
-98.7691,0.419157,82.4215,0.602619,0.109345,0.458913
-99.3459,4.95436,83.2974,0.493885,0.115301,0.385914
-99.6961,4.95436,83.2974,0.275958,-0.260992,0.265574
-99.7618,4.95436,83.2974,0.207694,-0.555887,0.224188
-99.7132,4.95436,83.2974,0.0633773,-0.140804,0.219759
-99.8788,176.864,77.6324,-0.411265,-0.0916298,0.045204
-99.7106,176.864,77.6324,-0.634231,-0.194255,0.102167
-99.9213,176.864,77.6324,-0.810313,-0.086132,0.224798
-100.559,176.864,77.6324,-1.28526,0.309403,0.363618
-101.139,177.54,87.4993,-1.62765,0.247248,0.33567
-101.121,177.54,87.4993,-1.65178,0.215788,0.33002
-101.125,177.54,87.4993,-1.80877,-0.193492,0.0197004
-100.736,1.70519,69.2627,-2.21103,-0.369115,0.0461203
-100.889,1.70519,69.2627,-2.11252,0.271835,0.473421
