"Mag","AccX","AccY","RateX","RateY","RateZ"
-87.217,-7.59458,10.0741,0.190132,1.3972,-0.0977384
-83.922,-7.59458,10.0741,0.202502,1.62704,-0.0878119
-80.3237,-7.59458,10.0741,0.325897,2.33946,-0.293215
-76.2748,-7.59458,10.0741,0.335518,2.56456,-0.319635
-72.0018,-19.5626,11.2818,0.385914,2.81639,-0.33903
-69.5016,-19.5626,11.2818,0.358731,3.48835,-0.437074
-64.7672,-19.5626,11.2818,0.45372,3.6739,-0.549321
-60.611,-36.0711,12.4605,0.422413,3.38862,-0.498466
-57.759,-36.2401,12.4333,0.410196,3.00622,-0.27382
-55.2296,-36.2401,12.4333,0.50656,3.26828,-0.234878
-52.7719,-36.2401,12.4333,0.34071,3.15726,-0.173028
-51.4847,-51.7348,13.1834,0.251676,3.04394,-0.0459676
-49.728,-51.7348,13.1834,0.469297,2.9459,-0.11637
-48.8797,-51.7348,13.1834,0.442419,2.60091,-0.0348193
-49.0105,-51.7348,13.1834,0.328645,2.48805,0.0989602
-48.9619,-68.4231,12.2939,0.165392,2.40024,0.170737
-48.4557,-68.4231,12.2939,0.129809,2.15437,0.112246
-48.0345,-68.4231,12.2939,0.223424,1.97569,-0.15516
-47.8246,-68.4231,12.2939,0.152105,2.10932,-0.199906
-47.0552,-72.48,14.9153,-0.0140499,1.98363,-0.354149
-46.4546,-72.48,14.9153,0.129656,1.81106,-0.354607
-46.0391,-72.48,14.9153,0.368657,1.81259,-0.54367
-45.2802,-72.48,14.9153,0.297491,2.46362,-0.894001
-44.7198,-108.802,8.0893,0.152411,2.17911,-0.821614
-43.8767,-108.802,8.0893,-0.19059,1.05038,-0.496633
-43.7992,-108.802,8.0893,-0.384692,0.209679,-0.199295
-43.5925,-108.802,8.0893,-0.41325,0.211207,-0.257327
-42.6813,-103.291,13.2084,-0.15516,0.346055,-0.427606
-42.5905,-103.291,13.2084,0.158825,0.783587,-0.500299
-41.8519,-103.291,13.2084,0.643699,1.25579,-0.71624
-41.4057,-103.291,13.2084,-0.0954477,0.901332,-0.362549
-41.157,-107.457,4.17243,-0.121715,0.13439,-0.270308
-40.9657,-107.457,4.17243,-0.160352,-0.26481,-0.12706
-41.1093,-107.457,4.17243,-0.02474,0.204945,-0.256716
-40.7556,-107.457,4.17243,-0.040928,-0.637743,-0.0131336
-40.7108,-105.33,4.06996,-0.114537,-1.96103,0.316275
-40.774,-105.33,4.06996,-0.718836,-3.70856,0.5875
-41.5844,-105.33,4.06996,-0.910953,-4.44649,0.824974
-42.9149,-105.33,4.06996,-0.758084,-4.99947,0.637285
-43.6645,-81.1233,4.0469,-0.150426,-3.90969,0.177609
-44.7164,-81.1233,4.0469,0.136223,-2.46408,0.0975857
-44.7171,-81.1233,4.0469,0.38683,-1.68935,0.142637
-45.7888,-81.1233,4.0469,0.470672,-3.10869,0.0722348
-47.5088,-60.5038,-0.687873,-0.122784,-5.0036,-0.251066
-49.9997,-60.5038,-0.687873,-0.279471,-4.98833,0.142484
-53.2429,-60.5038,-0.687873,0.0623083,-4.03018,0.359341
-56.6313,-60.5038,-0.687873,0.514043,-3.23255,0.176998
-61.3799,-18.4761,5.98679,0.313679,-4.64685,0.014508
-69.2648,-18.4761,5.98679,-0.022602,-5.00421,0.689361
-73.7346,-18.4761,5.98679,-0.033903,-5.00421,0.670883
-81.7575,-21.2425,7.90833,0.056505,-4.48207,0.32269
-87.4641,-17.7364,8.08268,0.120951,-2.20675,0.0120646
-89.3353,-17.7364,8.08268,0.104458,-1.25518,-0.0671952
-90.6662,-17.7364,8.08268,-0.0310014,-1.29305,0.116981
-93.6013,-0.217139,9.81923,-0.0696386,-1.49647,0.155618
-96.1487,-0.217139,9.81923,-0.0516181,-1.25426,-0.0190895
-97.3226,-0.217139,9.81923,-0.0213803,-0.708909,-0.154091
-97.0105,-0.217139,9.81923,0.1237,-0.282372,-0.163559
-96.9112,6.10874,8.44039,0.0959058,-0.450513,-0.0542143
-97.9253,6.10874,8.44039,0.0552833,-0.742049,0.00534507
-99.9392,6.10874,8.44039,-0.0166461,-1.30572,0.0855211
-101.543,6.10874,8.44039,-0.0696386,-1.01022,0.0332922
-103.151,19.2012,7.59672,0.0172569,-1.60245,0.0586431
-107.385,19.2012,7.59672,-0.159741,-3.51156,0.48182
-114.261,19.2012,7.59672,-0.115454,-4.56164,0.749074
-119.745,19.2012,7.59672,-0.00687223,-4.43412,0.244346
-125.111,30.5694,4.69203,-0.179136,-4.98756,0.293063
-127.562,30.5694,4.69203,-0.352011,-5.00314,0.127518
-131.254,30.5694,4.69203,-0.408822,-4.96496,0.000763582
-133.661,30.5694,4.69203,-0.163101,-4.81148,-0.0896445
-134.932,48.8794,13.3224,-0.0833831,-4.20993,0.109803
-136.671,48.8794,13.3224,0.186161,-3.60685,0.156382
-137.507,48.8794,13.3224,0.542906,-4.35852,0.214414
-137.937,48.8794,13.3224,0.377667,-3.53111,0.15684
-138.191,98.9052,8.88006,0.253509,-1.27594,0.0937678
-138.988,98.9052,8.88006,0.236558,-0.998307,0.269239
-139.299,98.9052,8.88006,0.487929,-1.49815,0.334754
-139.179,98.9052,8.88006,0.519694,-3.56562,0.0784962
-138.875,104.807,7.28429,0.187688,-2.28968,-0.173486
-138.647,104.807,7.28429,-0.211207,-1.33199,-0.0994183
-138.452,104.807,7.28429,-0.00595594,-0.887893,0.193033
-139.143,104.807,7.28429,0.121257,-0.948674,0.368504
-138.664,99.8737,0.773272,-0.0734565,-0.264963,0.0129809
-138.476,99.8737,0.773272,-0.00458149,-0.328951,-0.0436769
-138.539,99.8737,0.773272,0.0471893,-0.0510072,-0.020464
-138.406,99.8737,0.773272,-0.0152716,-0.364076,0.0534507
-138.689,101.49,6.01861,0.0442877,-0.262367,0.0119119
-138.664,101.49,6.01861,0.0065668,-0.0433714,0.021533
-138.272,101.49,6.01861,0.00213803,0.0810924,-0.0555887
-138.46,101.49,6.01861,-0.0277944,0.359647,-0.0710131
-138.39,104.214,6.03374,-0.0192423,0.846965,-0.203571
-138.428,104.214,6.03374,-0.000458149,2.2544,-0.350789
-138.336,104.214,6.03374,0.146302,2.83716,-0.0901026
-138.389,83.8282,5.26913,0.254273,4.68106,-0.119119
-137.875,85.6237,3.58408,0.0905608,4.85149,-0.254425
-137.111,85.6237,3.58408,0.00763582,3.03249,-0.0190895
-136.01,85.6237,3.58408,-0.372628,4.99795,-0.939053
